"pos","depth","speed","lat","lng"
"0","1.3","2.8339","59.48064","10.330620000000001"
"1","1.3","2.0696","59.480641399999996","10.330619300000002"
"2","1.3","1.6573","59.480641","10.330619300000002"
"3","1.3","0.0","59.4806411","10.330619300000002"
"4","1.3","1.8","59.480641","10.330619600000002"
"5","1.3","3.0324","59.4806404","10.330619900000002"
"6","1.2","3.4573","59.48064050000001","10.330619800000001"
"7","1.2","1.5304","59.480640699999995","10.330619100000002"
"8","1.2","1.1932","59.4806403","10.330619200000001"
"9","1.2","3.5275","59.480639599999996","10.330619400000002"
"10","1.3","3.5038","59.480639","10.330619600000002"
"11","1.1","3.5419","59.480637","10.3306201"
"12","1.1","3.5132","59.4806376","10.330619600000002"
"13","1.1","1.5703","59.480635299999996","10.330620800000002"
"14","1.1","3.4514","59.480633700000006","10.330621800000001"
"15","1.2","3.4236","59.4806349","10.3306216"
"16","1.2","1.7515","59.480634599999995","10.330621900000002"
"17","1.2","3.3304","59.4806347","10.330622200000002"
"18","1.1","2.3676","59.4806349","10.330622300000002"
"19","1.1","1.9427","59.480633499999996","10.330623700000002"
"20","1.1","3.3304","59.4806336","10.330624400000001"
"21","1.1","2.5431","59.4806342","10.3306248"
"22","1.3","1.9872999999999998","59.4806343","10.330625600000001"
"23","1.2","2.5619","59.480635299999996","10.330626200000003"
"24","1.2","1.9697","59.4806363","10.330625600000001"
"25","1.2","1.6303","59.480636399999995","10.330625600000001"
"26","1.3","1.8","59.4806358","10.330626100000002"
"27","1.3","3.3703","59.480636200000006","10.330626200000003"
"28","1.2","1.8725","59.480639599999996","10.330625400000002"
"29","1.2","1.7316999999999998","59.4806417","10.330625000000001"
"30","1.2","1.7447","59.4806428","10.330624900000002"
"31","1.2","1.7734999999999999","59.4806443","10.3306248"
"32","1.2","1.7806","59.480644500000004","10.330625000000001"
"33","1.1","2.0696","59.4806446","10.3306251"
"34","1.2","2.0696","59.4806451","10.330624700000001"
"35","1.2","1.5786000000000002","59.4806453","10.3306248"
"36","1.1","1.9427","59.480645900000006","10.330625000000001"
"37","1.1","1.8962","59.480647000000005","10.330625300000001"
"38","1.1","1.879","59.4806472","10.3306257"
"39","1.2","2.2549","59.480647999999995","10.330625600000001"
"40","1.1","1.7636","59.4806489","10.330625600000001"
"41","1.1","1.8","59.4806483","10.330626700000002"
"42","1.2","3.17","59.4806485","10.330627400000001"
"43","1.2","2.4068","59.480649","10.3306277"
"44","1.2","1.9697","59.4806479","10.330628500000001"
"45","1.1","3.397","59.4806485","10.330628600000002"
"46","0.1","1.8485","59.480649299999996","10.330628200000001"
"47","1.1","1.7675999999999998","59.48065020000001","10.330628100000002"
"48","1.1","1.7515","59.4806514","10.330627900000001"
"49","1.1","1.6927","59.480658","10.330625600000001"
"50","1.1","1.7227000000000001","59.480658","10.330625800000002"
"51","1.1","2.7","59.4806575","10.330626200000003"
"52","1.1","3.3786","59.480656700000004","10.330627300000002"
"53","1.1","3.2502999999999997","59.480655899999995","10.330628100000002"
"54","1.1","3.3304","59.4806553","10.3306283"
"55","1.1","3.5038","59.480655","10.330628000000003"
"56","1.1","0.2696","59.480654799999996","10.330627900000001"
"57","1.1","0.1427","59.4806544","10.330627800000002"
"58","1.1","0.0725","59.4806547","10.330627100000003"
"59","1.1","1.3011000000000001","59.4806558","10.330626100000002"
"60","1.1","1.5518","59.4806586","10.330624300000002"
"61","1.2","1.6188999999999998","59.4806589","10.3306242"
"62","1.3","1.7038","59.4806579","10.330624900000002"
"63","1.5","3.404","59.4806589","10.330624500000003"
"64","1.4","1.685","59.4806604","10.3306242"
"65","1.6","1.7419","59.480661000000005","10.330623500000002"
"66","1.9","1.4931","59.4806619","10.330621800000001"
"67","2.0","1.3614","59.480663099999994","10.330618600000001"
"68","2.0","1.264","59.4806636","10.330614700000002"
"69","2.0","1.0415","59.4806636","10.3306108"
"70","2.1","0.9","59.480663099999994","10.330606600000001"
"71","2.2","0.7683","59.4806626","10.3306023"
"72","2.2","0.7712","59.4806618","10.3305985"
"73","2.2","0.6751999999999999","59.4806609","10.330594000000001"
"74","2.2","0.6854","59.480660199999996","10.330589400000001"
"75","2.2","0.7334999999999999","59.4806608","10.330585600000001"
"76","2.2","1.0724","59.480661299999994","10.330581200000003"
"77","2.4","1.0259","59.4806621","10.330576"
"78","2.3","1.0683","59.48066239999999","10.330570300000002"
"79","2.3","0.9591","59.480663500000006","10.330564200000001"
"80","2.2","1.0952","59.480664899999994","10.3305582"
"81","2.2","1.1464","59.4806665","10.330552000000003"
"82","2.2","1.169","59.4806673","10.330545300000002"
"83","2.2","1.0321","59.480667100000005","10.330538100000002"
"84","2.3","0.8687","59.480667","10.330531"
"85","2.4","0.8841","59.4806669","10.330523800000002"
"86","2.5","0.8844","59.4806666","10.330516800000002"
"87","2.5","0.8518000000000001","59.48066669999999","10.33051"
